	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 100 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
492		14340			----zero_info----
493		15802			----zero_info----
494		17452			----zero_info----
495		19392			----zero_info----
496		20719			----zero_info----
497		23304			----zero_info----
498		25296			----zero_info----
499		26652			----zero_info----
500		30052			----zero_info----
501		32612			----zero_info----
502		34268			----zero_info----
503		38545			----zero_info----
504		40963			----zero_info----
505		43927			----zero_info----
506		47776			----zero_info----
507		50667			----zero_info----
508		56427			----zero_info----
509		61768			----zero_info----
510		66625			----zero_info----
511		74364			----zero_info----
512		83225			----zero_info----
513		94283			----zero_info----
514		111500			----zero_info----
515		135445			----zero_info----
516		176741			----zero_info----
517		253399			----zero_info----
518		394858			----zero_info----
519		668613			----zero_info----

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
139		9			----zero_info----
140		14			----zero_info----
141		71			----zero_info----
142		106			----zero_info----
143		507			----zero_info----
144		752			----zero_info----
145		3561			----zero_info----
146		5276			----zero_info----
147		24941			----zero_info----
148		36946			----zero_info----
149		174603			----zero_info----
150		258638			----zero_info----
151		1.22224e+06			----zero_info----
152		1.81048e+06			----zero_info----
153		8.55569e+06			----zero_info----
154		1.26734e+07			----zero_info----

Files that contains zero_info:	19
p01.pddl
p02.pddl
p03.pddl
p04.pddl
p05.pddl
p06.pddl
p07.pddl
p08.pddl
p09.pddl
p10.pddl
p11.pddl
p12.pddl
p14.pddl
p15.pddl
p16.pddl
p17.pddl
p18.pddl
p19.pddl
p20.pddl
