	Report:		ida*-bfs-vs-ss-bfs - using lmcut heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
415		66			44
416		77			51
417		95			67
418		112			70
419		131			75
420		168			421
421		207			113
422		276			194
423		564			175
424		1944			942
425		2612			4347
426		4735			1870
427		6006			17060
428		9180			12304
429		11379			5205
430		16255			11366
431		20558			5701
432		27889			17049
433		34895			20809
434		45859			23982
435		56659			16730
436		72928			25145

p23.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
409		2			2
411		4			4
413		18			18
414		33			33
415		61			61
416		95			95
417		135			135
418		192			192
419		244			244
420		328			328
421		392			392
422		507			507
423		583			583
424		733			733
425		821			821
426		1010			1010
427		1110			1110
428		1342			1342
429		1454			1454
430		1735			7
431		1919			67
432		2259			75
433		2515			135
434		2922			4065
435		3250			207
436		3732			223
437		4132			283
438		4697			2073
439		5169			363
440		5825			2475
441		6369			8421
442		7124			9161
443		7740			535
444		8602			29397
445		9290			627
446		10267			90291
447		11027			96111
448		12127			763
449		12959			14333
450		14190			867
451		15094			332097
452		16464			975
453		17444			119
454		18961			6821
455		20025			465
456		21697			139
457		22925			163
458		24902			313
459		26524			587
460		29173			18440
461		31624			1684
462		35727			2470
463		40257			6281
464		48692			35670
465		64822			22288
466		100959			136132
467		229943			83001
468		535451			648490
469		1.86886e+06			2.10516e+06
470		4.97789e+06			3.91272e+06

p21.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
319		3			3
321		6			7
322		9			9
323		21			25
324		33			33
325		81			97
326		129			129
327		321			257
328		513			513
329		1281			1537
330		2049			2049
331		5121			4097
332		8193			8193
333		20481			16385
334		32769			32769
335		81921			98305
336		131073			131073
337		327681			262145
338		524289			524289
339		1.31072e+06			1.04858e+06
340		2.09715e+06			2.09715e+06
341		5.24288e+06			6.29146e+06
342		8.38861e+06			8.38861e+06
343		2.09715e+07			1.67772e+07
344		3.35544e+07			3.35544e+07
345		8.38861e+07			6.71089e+07
346		1.34218e+08			1.34218e+08

p03.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
139		9			6
140		14			11
141		71			106
142		106			80
143		507			322
144		752			563
145		3561			4287
146		5276			6198
147		24941			31622
148		36946			48772
149		174603			154878
150		258638			339741
151		1.22224e+06			867128
152		1.81048e+06			2.38988e+06
153		8.55569e+06			6.07061e+06
154		1.26734e+07			1.4884e+07

p24.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
406		2			2
408		4			4
410		6			6
412		8			8
414		10			10
416		12			12
418		14			14
420		16			16
422		18			18
424		20			20
426		22			22
428		24			24
430		26			26
432		28			28
434		30			30
436		32			32
438		34			34
440		36			36
442		38			38
444		40			40
446		42			42
448		44			44
450		46			46
452		48			48
454		50			50
456		52			52
457		53			53
458		556103			59
459		1.22882e+06			364

p09.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
146		1			1
148		4			4
150		11			11
151		13			13
152		31			37
153		51			49
154		137			141
155		239			287
156		693			839
157		1171			1537
158		3482			2134
159		5661			3513
160		16941			9185
161		26732			13152
162		80036			69588
163		123450			108082

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
156		1			1
168		2			2
170		4			4
172		5			5
173		6			6
174		8			10
175		11			10
176		14			14
177		17			18
178		20			22
179		26			39
180		35			55
181		40			37
182		54			65
183		62			35
184		83			53
185		93			74
186		129			62
187		155			110
188		222			180
189		289			63
190		463			109
191		649			819
192		1217			176
193		1831			2535
194		3982			2849
195		6383			18213
196		14836			22159
197		24250			5879
198		57847			2717
199		95276			16124

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
372		4			4
373		5			5
374		6			6
375		8			8
376		11			11
379		15			15
381		18			18
382		25			21
386		28			22
387		30			24
388		32			22
390		36			26
391		47			59
392		55			41
393		96			109
394		103			120
395		122			93
396		145			107
397		170			202
398		189			217
399		223			178
400		256			266
401		279			291
402		309			270
403		350			242
404		391			275
405		412			396
406		444			382
407		485			366
408		542			527
409		630			391
410		669			580
411		723			925
412		810			689
413		921			957
414		1066			929
415		1237			917
416		1399			1044
417		1594			2160
418		1811			1445
419		2021			1455
420		2341			1666
421		2847			4644
422		3371			3258
423		3923			3114
424		4436			2788
425		5119			4078
426		5678			4781
427		6484			4831
428		7337			6294
429		8396			11739
430		9675			8842
431		11280			9632
432		12745			8975
433		14372			21567
434		16086			20080
435		17795			10569
436		19941			13640
437		22312			34002
438		24859			38533
439		28332			16688
440		31699			15519
441		35867			24991
442		41314			31834
443		46584			36639

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
244		1			1
274		3			3
304		7			7
334		15			15
364		31			31
394		63			63
410		65			125
424		129			253
439		133			9
454		261			513
455		265			17
456		291			69

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
358		1			1
369		3			3
371		8			8
373		17			17
375		30			30
377		47			47
379		68			68
380		79			79
381		106			106
382		109			97
383		142			156
384		143			157
385		182			166
386		183			199
387		228			210
388		229			247
389		280			300
390		281			301
391		352			341
392		550			508
393		861			1500
394		2023			1501
395		3858			7140
396		10042			11263
397		20231			5929
398		51104			101510
399		103841			11959
400		251898			274220

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
115		1			1
117		15			25
118		17			27
119		75			127
120		83			135
121		317			219
122		349			251
123		1287			527
124		1415			655
125		5169			2147
126		5681			3583
127		20702			14227
128		22753			17472
129		82846			245574
130		91062			58828
131		1.90442e+06			398062

Files that contains zero_info:	1
p28.pddl
