	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 1 probe.

transport-opt08-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
66		1			1
67		2			2
68		4			4
69		7			7
70		12			11
71		20			25
72		34			22
73		59			97
74		106			37
75		196			58
76		373			57
77		721			1539
78		1412			3077
79		2787			16
80		5530			19
81		11011			16
82		21967			33
83		43873			51
84		87679			91
85		175297			33
86		350564			370
87		701226			2975
88		1.4029e+06			3687
89		2.80728e+06			420
90		5.61882e+06			119
91		1.12499e+07			75

p08.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
76		1			1
90		4			4
91		8			7
92		11			13
93		15			10
94		19			13
95		25			36
96		36			20
97		54			55
98		89			197
99		155			360
100		285			683
101		543			1326
102		1058			2609
103		2085			5172
104		4143			5175
105		8257			4115
106		16477			110
107		32905			52
108		65751			214
109		131435			501
110		262814			2171
111		525611			6346
112		1.05128e+06			612
113		2.10281e+06			179
114		4.20626e+06			10170
115		8.41404e+06			150

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
271		3			3
276		5			5
280		7			7
282		9			9
283		15			14
284		21			19
285		22			19
286		28			23
287		34			27
288		36			67
289		42			45
290		47			30
291		56			48
292		64			40
293		67			40
294		76			60
295		88			53
296		103			155
297		118			177
298		146			106
299		182			108
300		231			210
301		286			292
302		330			740
303		393			837
304		482			369
305		582			800
306		696			543
307		821			3112
308		937			471
309		1042			755
310		1215			2051
311		1400			2280
312		1662			3781
313		2008			1102
314		2353			640
315		2815			14911
316		3408			1077
317		4172			856
318		5076			976
319		6278			32512
320		7616			3815
321		9323			9127
322		11229			1697
323		13509			6029
324		16020			3006
325		19015			1537
326		22558			1513
327		26903			3723
328		32239			3337
329		38578			3152
330		45966			6345
331		55295			6549
332		66573			83237
333		80970			44859
334		98601			571676

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
213		1			1
243		3			3
273		5			5
303		15			15
333		23			23
334		25			25
363		65			65
365		69			69
379		71			71
380		75			75
381		83			83
382		99			99
383		131			131
384		195			195
385		323			323
386		579			579
387		1091			1091
388		2115			2115
389		4163			4163
390		8259			8259
391		16451			16451
392		32835			32835
393		65635			65635
394		131179			115
395		262251			786523
396		524395			115
397		1.04868e+06			115
398		2.09726e+06			115
399		4.19441e+06			115
400		8.38872e+06			115
401		1.67773e+07			115

p27.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
179		1			1
203		4			4
204		6			6
205		9			9
206		12			11
207		16			14
208		20			24
209		25			31
210		30			25
211		37			29
212		45			35
213		56			174
214		71			82
215		95			127
216		135			69
217		208			104
218		345			66
219		611			1579
220		1135			109
221		2170			116
222		4229			20529
223		8337			121
224		16541			259
225		32938			163869

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
55		1			1
56		3			3
57		7			7
58		15			15
59		31			31
60		63			63
61		127			127
62		255			255
63		511			511
64		1023			1023
65		2047			2047
66		4095			4095
67		8191			8191
68		16383			16383
69		32767			32767
70		65536			65536
71		131076			131076
72		262160			262160
73		524336			524336
74		1.0487e+06			1.0487e+06
75		2.09748e+06			2.09748e+06
76		4.19508e+06			4.19509e+06
77		8.39044e+06			8.39044e+06
78		1.67814e+07			1.67815e+07
79		3.35639e+07			2147
80		6.71301e+07			1.09082e+08
81		1.34265e+08			22942
82		2.6854e+08			43443
83		5.371e+08			87883
