	Report:		ida*-bfs-vs-ss-bfs - using hmax heuristic - 10 probes.

transport-opt11-strips

p14.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
81		166155			166160
82		465159			465159
83		1.32888e+06			1.23586e+06
84		3.8535e+06			3.41498e+06
85		1.12942e+07			1.15866e+07
86		3.33501e+07			4.55522e+07

p16.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
255		2			2
256		6			6
257		16			16
258		38			37.4
259		88			84.8
260		194			216.6
261		428			418.8
262		918			890.4
263		1984			2076.8
264		4202			4850
265		8980			7835.2
266		18878			18487.6
267		40040			48220.8
268		83730			88654.8
269		176572			164048
270		367721			412904
271		771873			694527
272		1.60205e+06			857306
273		3.3499e+06			2.71566e+06
274		6.93332e+06			7.05438e+06
275		1.44508e+07			4249.4

p11.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
218		1			1
252		2			2
256		4			4
259		5			5
262		7			7
265		8			8
270		9			9
271		10			10.6
274		11			10.6
276		12			11.4
277		13			14.2
280		22			22.6
283		27			27.2
284		28			27.2
286		29			27.2
287		30			26.6
288		31			26.6
289		33			34.3
290		40			47.5
292		41			37.4
293		45			44.9
294		47			44.9
295		50			46
296		59			84.8
297		64			77.9
299		72			77.3
300		79			65.4
301		80			65.4
302		81			65.4
303		95			93.9
304		106			121.1
305		123			134.7
306		131			128.7
307		140			107.8
308		148			160.4
309		170			178.3
310		172			178.3
311		177			207.7
312		198			188.4
313		202			153.3
314		246			168.1
315		278			227.8
316		282			213.2
317		331			219.6
318		367			458.6
319		372			458.6
320		395			513.8
321		492			495.8
322		501			445.6
323		514			609.1
324		576			621.1
325		588			636.3
326		632			671.1
327		742			569.1
328		799			590.3
329		840			885.4
330		927			1356.3
331		986			1083.9
332		1050			1271.1
333		1328			1170.2
334		1412			1449.8
335		1443			2239.1
336		1589			1564.9
337		1637			1537.9
338		1855			2370.5
339		2106			2776.1
340		2266			2195.3
341		2502			2699.9
342		2770			2250
343		2939			4489.3
344		3096			3117.7
345		3627			4899.6
346		3844			6277.3
347		4054			3556
348		4442			2445.8
349		4864			3362.9
350		5492			3459.6
351		6422			7214.6
352		7561			6746.1
353		9076			8122.9
354		11796			17339.8
355		16682			18928.7
356		25298			22794
357		43246			40281.2
358		76839			94048.8
359		143101			161830
360		275039			281805
361		538138			548657
362		1.06397e+06			1.08979e+06
363		2.11374e+06			2.12799e+06
364		4.21203e+06			4.2117e+06
365		8.40848e+06			8.39824e+06
366		1.67987e+07			1.67937e+07
367		3.3578e+07			3.35681e+07

p02.pddl
bound		ida*-bfs (exp)		ss-bfs (exp)
95		2			2
96		8			8
97		31			33.8
98		96			99.2
99		304			343.7
100		854			812.6
101		2509			2728.4
102		6767			7713
103		19209			21691.2
104		50769			54043.5
105		141552			165462
106		370027			359075
107		1.0213e+06			1.03817e+06
108		2.65292e+06			5.52155e+06
109		7.27918e+06			7.63198e+06
110		1.88379e+07			1.42283e+07
111		5.15077e+07			5.7884e+07
112		1.33002e+08			1.12945e+08
