Experiment 2: transport-opt08-strips using gapdb_deep heuristic with 500 probes



instance_name: p01_F_123.csv

A*:		{(0_ipdb, 112),(1_gapdb, 112),(2_lmcut, 126),(3_gapdb, 112),(4_mands, 112),(5_gapdb, 112),(6_gapdb, 112),(7_gapdb, 112),(8_gapdb, 112),(9_gapdb, 112),(10_gapdb, 112),(11_gapdb, 112),(12_gapdb, 112),}
ss:		{(0_ipdb, 1.39862e+14),(1_gapdb, 1.39663e+14),(2_lmcut, 1.43345e+14),(3_gapdb, 1.39663e+14),(4_mands, 1.39663e+14),(5_gapdb, 1.39663e+14),(6_gapdb, 1.39663e+14),(7_gapdb, 1.39663e+14),(8_gapdb, 1.39663e+14),(9_gapdb, 1.39663e+14),(10_gapdb, 1.39663e+14),(11_gapdb, 1.39663e+14),(12_gapdb, 1.39663e+14),}

Measure_1:

-A* h1/h2
	(0_ipdb, 9_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 10_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 11_gapdb):	1.00142	-	1	=	0.00142445
	(0_ipdb, 12_gapdb):	1.00142	-	1	=	0.00142445
	(1_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(3_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(4_mands, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(5_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(6_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(7_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(8_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(9_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(10_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(11_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(12_gapdb, 2_lmcut):	0.974311	-	0.888889	=	0.0854223
	(0_ipdb, 2_lmcut):	0.975699	-	0.888889	=	0.0868102

Measure_3:
	-h1(13):		SS		A*
	0_ipdb		1.39862e+14		112
	10_gapdb		1.39663e+14		112
	11_gapdb		1.39663e+14		112
	12_gapdb		1.39663e+14		112
	1_gapdb		1.39663e+14		112
	2_lmcut		1.43345e+14		126
	3_gapdb		1.39663e+14		112
	4_mands		1.39663e+14		112
	5_gapdb		1.39663e+14		112
	6_gapdb		1.39663e+14		112
	7_gapdb		1.39663e+14		112
	8_gapdb		1.39663e+14		112
	9_gapdb		1.39663e+14		112

	-h2(13):		SS		A*
	0_ipdb		1.39862e+14		112
	10_gapdb		1.39663e+14		112
	11_gapdb		1.39663e+14		112
	12_gapdb		1.39663e+14		112
	1_gapdb		1.39663e+14		112
	2_lmcut		1.43345e+14		126
	3_gapdb		1.39663e+14		112
	4_mands		1.39663e+14		112
	5_gapdb		1.39663e+14		112
	6_gapdb		1.39663e+14		112
	7_gapdb		1.39663e+14		112
	8_gapdb		1.39663e+14		112
	9_gapdb		1.39663e+14		112



instance_name: p11_F_933.csv

A*:		{(0_ipdb, 914),(1_gapdb, 896),(2_lmcut, 860),(3_gapdb, 896),(4_gapdb, 896),(5_mands, 896),(6_gapdb, 896),(7_gapdb, 896),(8_gapdb, 896),(9_gapdb, 896),(10_gapdb, 896),(11_gapdb, 896),(12_gapdb, 896),}
ss:		{(0_ipdb, 3.09933e+36),(1_gapdb, 5.17667e+19),(2_lmcut, 5.17669e+19),(3_gapdb, 5.17667e+19),(4_gapdb, 5.17667e+19),(5_mands, 5.17667e+19),(6_gapdb, 5.17667e+19),(7_gapdb, 5.17667e+19),(8_gapdb, 5.17667e+19),(9_gapdb, 5.17667e+19),(10_gapdb, 5.17667e+19),(11_gapdb, 5.17667e+19),(12_gapdb, 5.17667e+19),}

Measure_1:

-A* h1/h2
	1	1.02009	1.06279	1.02009	1.02009	1.02009	1.02009	1.02009	1.02009	1.02009	1.02009	1.02009	1.02009
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.940919	0.959821	1	0.959821	0.959821	0.959821	0.959821	0.959821	0.959821	0.959821	0.959821	0.959821	0.959821
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1
	0.980306	1	1.04186	1	1	1	1	1	1	1	1	1	1

-ss h1/h2
	1	5.98711e+16	5.98709e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16	5.98711e+16
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67026e-17	1	1	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1
	1.67025e-17	1	0.999997	1	1	1	1	1	1	1	1	1	1

Measure_2:
- The heuristics that have the similar ratio are:
	(h1     ,h2     ):	fracss	-	fracastar	=	diff
	(1_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(3_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(4_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(5_mands, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(6_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(7_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(8_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(9_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(10_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(11_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(12_gapdb, 2_lmcut):	0.999997	-	1.04186	=	-0.0418635
	(1_gapdb, 3_gapdb):	1	-	1	=	0
	(1_gapdb, 4_gapdb):	1	-	1	=	0
	(1_gapdb, 5_mands):	1	-	1	=	0
	(1_gapdb, 6_gapdb):	1	-	1	=	0
	(1_gapdb, 7_gapdb):	1	-	1	=	0
	(1_gapdb, 8_gapdb):	1	-	1	=	0
	(1_gapdb, 9_gapdb):	1	-	1	=	0
	(1_gapdb, 10_gapdb):	1	-	1	=	0
	(1_gapdb, 11_gapdb):	1	-	1	=	0
	(1_gapdb, 12_gapdb):	1	-	1	=	0
	(3_gapdb, 1_gapdb):	1	-	1	=	0
	(3_gapdb, 4_gapdb):	1	-	1	=	0
	(3_gapdb, 5_mands):	1	-	1	=	0
	(3_gapdb, 6_gapdb):	1	-	1	=	0
	(3_gapdb, 7_gapdb):	1	-	1	=	0
	(3_gapdb, 8_gapdb):	1	-	1	=	0
	(3_gapdb, 9_gapdb):	1	-	1	=	0
	(3_gapdb, 10_gapdb):	1	-	1	=	0
	(3_gapdb, 11_gapdb):	1	-	1	=	0
	(3_gapdb, 12_gapdb):	1	-	1	=	0
	(4_gapdb, 1_gapdb):	1	-	1	=	0
	(4_gapdb, 3_gapdb):	1	-	1	=	0
	(4_gapdb, 5_mands):	1	-	1	=	0
	(4_gapdb, 6_gapdb):	1	-	1	=	0
	(4_gapdb, 7_gapdb):	1	-	1	=	0
	(4_gapdb, 8_gapdb):	1	-	1	=	0
	(4_gapdb, 9_gapdb):	1	-	1	=	0
	(4_gapdb, 10_gapdb):	1	-	1	=	0
	(4_gapdb, 11_gapdb):	1	-	1	=	0
	(4_gapdb, 12_gapdb):	1	-	1	=	0
	(5_mands, 1_gapdb):	1	-	1	=	0
	(5_mands, 3_gapdb):	1	-	1	=	0
	(5_mands, 4_gapdb):	1	-	1	=	0
	(5_mands, 6_gapdb):	1	-	1	=	0
	(5_mands, 7_gapdb):	1	-	1	=	0
	(5_mands, 8_gapdb):	1	-	1	=	0
	(5_mands, 9_gapdb):	1	-	1	=	0
	(5_mands, 10_gapdb):	1	-	1	=	0
	(5_mands, 11_gapdb):	1	-	1	=	0
	(5_mands, 12_gapdb):	1	-	1	=	0
	(6_gapdb, 1_gapdb):	1	-	1	=	0
	(6_gapdb, 3_gapdb):	1	-	1	=	0
	(6_gapdb, 4_gapdb):	1	-	1	=	0
	(6_gapdb, 5_mands):	1	-	1	=	0
	(6_gapdb, 7_gapdb):	1	-	1	=	0
	(6_gapdb, 8_gapdb):	1	-	1	=	0
	(6_gapdb, 9_gapdb):	1	-	1	=	0
	(6_gapdb, 10_gapdb):	1	-	1	=	0
	(6_gapdb, 11_gapdb):	1	-	1	=	0
	(6_gapdb, 12_gapdb):	1	-	1	=	0
	(7_gapdb, 1_gapdb):	1	-	1	=	0
	(7_gapdb, 3_gapdb):	1	-	1	=	0
	(7_gapdb, 4_gapdb):	1	-	1	=	0
	(7_gapdb, 5_mands):	1	-	1	=	0
	(7_gapdb, 6_gapdb):	1	-	1	=	0
	(7_gapdb, 8_gapdb):	1	-	1	=	0
	(7_gapdb, 9_gapdb):	1	-	1	=	0
	(7_gapdb, 10_gapdb):	1	-	1	=	0
	(7_gapdb, 11_gapdb):	1	-	1	=	0
	(7_gapdb, 12_gapdb):	1	-	1	=	0
	(8_gapdb, 1_gapdb):	1	-	1	=	0
	(8_gapdb, 3_gapdb):	1	-	1	=	0
	(8_gapdb, 4_gapdb):	1	-	1	=	0
	(8_gapdb, 5_mands):	1	-	1	=	0
	(8_gapdb, 6_gapdb):	1	-	1	=	0
	(8_gapdb, 7_gapdb):	1	-	1	=	0
	(8_gapdb, 9_gapdb):	1	-	1	=	0
	(8_gapdb, 10_gapdb):	1	-	1	=	0
	(8_gapdb, 11_gapdb):	1	-	1	=	0
	(8_gapdb, 12_gapdb):	1	-	1	=	0
	(9_gapdb, 1_gapdb):	1	-	1	=	0
	(9_gapdb, 3_gapdb):	1	-	1	=	0
	(9_gapdb, 4_gapdb):	1	-	1	=	0
	(9_gapdb, 5_mands):	1	-	1	=	0
	(9_gapdb, 6_gapdb):	1	-	1	=	0
	(9_gapdb, 7_gapdb):	1	-	1	=	0
	(9_gapdb, 8_gapdb):	1	-	1	=	0
	(9_gapdb, 10_gapdb):	1	-	1	=	0
	(9_gapdb, 11_gapdb):	1	-	1	=	0
	(9_gapdb, 12_gapdb):	1	-	1	=	0
	(10_gapdb, 1_gapdb):	1	-	1	=	0
	(10_gapdb, 3_gapdb):	1	-	1	=	0
	(10_gapdb, 4_gapdb):	1	-	1	=	0
	(10_gapdb, 5_mands):	1	-	1	=	0
	(10_gapdb, 6_gapdb):	1	-	1	=	0
	(10_gapdb, 7_gapdb):	1	-	1	=	0
	(10_gapdb, 8_gapdb):	1	-	1	=	0
	(10_gapdb, 9_gapdb):	1	-	1	=	0
	(10_gapdb, 11_gapdb):	1	-	1	=	0
	(10_gapdb, 12_gapdb):	1	-	1	=	0
	(11_gapdb, 1_gapdb):	1	-	1	=	0
	(11_gapdb, 3_gapdb):	1	-	1	=	0
	(11_gapdb, 4_gapdb):	1	-	1	=	0
